,price,area,bedrooms,bathrooms,basement,airconditioning,parking,stories_cat
0,13300000,7420,4,2,no,yes,2,more
2,12250000,9960,3,2,yes,no,2,two
5,10850000,7500,3,3,yes,yes,2,one
6,10150000,8580,4,3,no,yes,2,more
7,10150000,16200,5,3,no,no,0,two
10,9800000,13200,3,1,yes,yes,2,two
12,9310000,6550,4,2,no,yes,1,two
13,9240000,3500,4,2,no,no,2,two
14,9240000,7800,3,2,no,no,0,two
15,9100000,6000,4,1,yes,no,2,two
17,8960000,8500,3,2,no,yes,2,more
19,8855000,6420,3,2,no,yes,1,two
20,8750000,4320,3,1,yes,no,2,two
24,8575000,8800,3,2,no,yes,2,two
27,8400000,8875,3,1,no,no,1,one
28,8400000,7950,5,2,yes,no,2,two
29,8400000,5500,4,2,yes,yes,1,two
30,8400000,7475,3,2,no,yes,2,more
31,8400000,7000,3,1,no,yes,2,more
32,8295000,4880,4,2,no,yes,1,two
35,8080940,7000,3,2,no,yes,2,more
36,8043000,7482,3,2,no,no,1,more
37,7980000,9000,4,2,no,yes,2,more
39,7910000,6000,4,2,no,yes,1,more
40,7875000,6550,3,1,yes,yes,0,two
41,7840000,6360,3,2,no,yes,0,more
42,7700000,6480,3,2,no,yes,2,more
43,7700000,6000,4,2,no,no,2,more
44,7560000,6000,4,2,no,yes,1,more
45,7560000,6000,3,2,no,yes,0,more
46,7525000,6000,3,2,no,yes,1,more
48,7455000,4300,3,2,yes,no,1,two
50,7420000,7440,3,2,no,no,1,more
51,7420000,6325,3,1,no,yes,1,more
53,7350000,5150,3,2,no,yes,2,more
55,7350000,6000,3,1,no,yes,1,two
56,7343000,11440,4,1,yes,no,1,two
61,7070000,8880,2,1,no,yes,1,one
62,7070000,6240,4,2,no,yes,1,two
63,7035000,6360,4,2,no,yes,2,more
64,7000000,11175,3,1,yes,yes,1,one
65,6930000,8880,3,2,yes,yes,1,two
66,6930000,13200,2,1,yes,no,1,one
67,6895000,7700,3,2,no,no,2,one
68,6860000,6000,3,1,no,yes,1,one
69,6790000,12090,4,2,no,no,2,two
70,6790000,4000,3,2,yes,yes,0,two
71,6755000,6000,4,2,no,yes,0,more
72,6720000,5020,3,1,no,yes,0,more
73,6685000,6600,2,2,yes,no,0,more
74,6650000,4040,3,1,yes,no,1,two
75,6650000,4260,4,2,no,no,0,two
76,6650000,6420,3,2,no,yes,0,more
77,6650000,6500,3,2,no,yes,0,more
80,6629000,6000,3,1,no,no,1,two
81,6615000,4000,3,2,yes,yes,1,two
82,6615000,10500,3,2,yes,yes,1,one
83,6580000,6000,3,2,no,yes,0,more
84,6510000,3760,3,1,no,no,2,two
85,6510000,8250,3,2,no,yes,0,more
86,6510000,6670,3,1,yes,no,0,more
87,6475000,3960,3,1,yes,no,2,one
89,6440000,8580,5,3,no,no,2,two
90,6440000,5000,3,1,no,yes,0,two
94,6300000,6000,4,2,no,no,1,more
95,6300000,4100,3,2,no,yes,2,more
96,6300000,9000,3,1,yes,no,1,one
98,6293000,6600,3,2,no,yes,0,more
100,6230000,6600,3,2,yes,yes,0,one
101,6230000,5500,3,1,no,no,1,more
105,6160000,4500,3,1,no,yes,0,more
106,6160000,5450,4,2,yes,yes,0,one
107,6125000,6420,3,1,yes,no,0,more
108,6107500,3240,4,1,no,no,1,more
111,6090000,8372,3,1,no,yes,2,more
112,6083000,4300,6,2,no,no,0,two
113,6083000,9620,3,1,yes,no,2,one
118,5950000,6420,3,1,yes,yes,0,one
119,5950000,7020,3,1,yes,yes,2,one
122,5950000,6254,4,2,yes,no,1,one
123,5950000,7320,4,2,no,no,0,two
124,5950000,6525,3,2,no,no,1,more
125,5943000,15600,3,1,no,yes,2,one
126,5880000,7160,3,1,yes,no,2,one
127,5880000,6500,3,2,no,yes,0,more
129,5873000,11460,3,1,no,no,2,more
132,5810000,5200,3,1,no,yes,0,more
133,5810000,4800,3,1,no,yes,0,more
134,5803000,7000,3,1,yes,no,2,one
135,5775000,6000,3,2,no,yes,0,more
136,5740000,5400,4,2,no,yes,2,two
137,5740000,4640,4,1,no,no,1,two
138,5740000,5000,3,1,no,yes,0,more
140,5740000,5800,3,2,no,yes,0,more
142,5600000,10500,4,2,no,no,1,two
145,5600000,5000,3,1,no,no,0,more
146,5600000,10500,2,1,no,no,1,one
147,5600000,5500,3,2,no,no,1,two
148,5600000,6360,3,1,no,no,0,more
149,5600000,6600,4,2,yes,no,0,one
151,5565000,4400,4,1,no,yes,2,two
153,5530000,3300,3,3,yes,no,0,two
154,5530000,3650,3,2,no,no,2,two
155,5530000,6100,3,2,yes,no,2,one
158,5495000,7980,3,1,no,no,2,one
166,5320000,7800,3,1,yes,yes,2,one
167,5285000,4600,2,2,no,yes,2,one
168,5250000,4260,4,1,yes,yes,0,two
170,5250000,5500,3,2,yes,no,0,one
171,5250000,10269,3,1,no,no,1,one
173,5250000,5300,4,2,no,yes,0,one
176,5250000,8520,3,1,no,yes,2,one
177,5243000,6050,3,1,yes,no,0,one
179,5215000,3180,3,2,no,no,2,two
183,5145000,7980,3,1,no,no,1,one
185,5110000,3000,3,1,yes,no,0,two
186,5110000,11410,2,1,no,no,0,two
187,5110000,6100,3,1,yes,yes,0,one
188,5075000,5720,2,1,no,yes,0,two
190,5040000,7600,4,1,no,yes,2,two
195,4970000,4410,4,3,yes,no,2,two
198,4935000,5948,3,1,no,yes,0,two
199,4907000,4200,3,1,no,no,1,two
200,4900000,4520,3,1,yes,yes,0,two
202,4900000,4120,2,1,yes,no,1,one
203,4900000,5400,4,1,no,no,0,two
205,4900000,6300,3,1,no,yes,2,one
207,4900000,3000,3,1,yes,yes,0,two
208,4900000,2970,3,1,no,no,0,more
209,4900000,6720,3,1,no,no,0,one
211,4900000,12900,3,1,no,no,2,one
212,4893000,3420,4,2,yes,yes,2,two
213,4893000,4995,4,2,yes,no,0,one
214,4865000,4350,2,1,yes,no,0,one
215,4830000,4160,3,1,no,no,0,more
216,4830000,6040,3,1,no,no,2,one
217,4830000,6862,3,1,no,yes,2,two
218,4830000,4815,2,1,no,yes,0,one
219,4795000,7000,3,1,yes,no,0,two
220,4795000,8100,4,1,yes,yes,2,more
221,4767000,3420,4,2,no,no,0,two
222,4760000,9166,2,1,yes,yes,2,one
223,4760000,6321,3,1,yes,yes,1,two
224,4760000,10240,2,1,no,yes,2,one
226,4690000,5170,3,1,no,yes,0,more
227,4690000,6000,2,1,yes,yes,1,one
228,4690000,3630,3,1,no,no,2,two
230,4690000,5400,2,1,no,no,0,two
231,4690000,4320,3,1,no,no,0,one
232,4655000,3745,3,1,yes,no,0,two
234,4620000,3880,3,2,yes,no,2,two
237,4620000,5010,3,1,yes,no,0,two
238,4613000,4510,4,2,yes,no,0,two
239,4585000,4000,3,1,no,no,1,two
240,4585000,3840,3,1,no,no,1,two
241,4550000,3760,3,1,no,no,2,one
242,4550000,3640,3,1,no,yes,0,two
243,4550000,2550,3,1,yes,no,0,two
245,4550000,5360,3,1,no,no,2,two
246,4550000,3520,3,1,no,no,0,one
250,4515000,3510,3,1,no,no,0,more
251,4515000,3450,3,1,yes,no,1,two
252,4515000,9860,3,1,no,no,0,one
253,4515000,3520,2,1,no,no,0,two
254,4480000,4510,4,1,no,yes,2,two
255,4480000,5885,2,1,no,yes,1,one
256,4480000,4000,3,1,no,no,2,two
257,4480000,8250,3,1,no,no,0,one
258,4480000,4040,3,1,no,no,1,two
259,4473000,6360,2,1,yes,yes,1,one
260,4473000,3162,3,1,no,yes,1,two
261,4473000,3510,3,1,no,no,0,two
264,4410000,4900,2,1,yes,no,0,two
265,4403000,2880,3,1,no,no,0,two
266,4403000,4880,3,1,no,no,2,one
267,4403000,4920,3,1,no,no,1,two
268,4382000,4950,4,1,no,yes,0,two
269,4375000,3900,3,1,no,no,0,two
270,4340000,4500,3,2,no,no,1,more
273,4340000,3500,4,1,no,no,2,two
274,4340000,6450,4,1,no,no,0,two
275,4319000,4032,2,1,yes,no,0,one
276,4305000,4400,2,1,no,no,1,one
277,4305000,10360,2,1,no,no,1,one
278,4277000,3400,3,1,yes,no,2,two
279,4270000,6360,2,1,no,no,0,one
280,4270000,6360,2,1,no,no,0,two
281,4270000,4500,2,1,no,yes,2,one
283,4270000,4360,4,1,no,no,0,two
284,4270000,7770,2,1,no,no,1,one
286,4235000,2787,3,1,yes,no,0,one
287,4200000,5500,3,1,no,yes,0,two
288,4200000,5040,3,1,yes,yes,0,two
291,4200000,2953,3,1,yes,yes,0,two
296,4200000,4600,3,2,no,yes,1,two
297,4200000,3640,3,2,yes,no,0,two
298,4200000,5800,3,1,no,no,2,one
300,4200000,4079,3,1,no,no,0,more
301,4200000,3520,3,1,no,no,0,two
302,4200000,2145,3,1,no,no,1,more
303,4200000,4500,3,1,yes,no,0,one
305,4193000,3450,3,1,no,no,1,two
306,4165000,4840,3,1,no,no,1,two
307,4165000,4080,3,1,no,no,2,two
308,4165000,4046,3,1,yes,no,1,two
309,4130000,4632,4,1,no,yes,0,two
310,4130000,5985,3,1,yes,no,0,one
311,4123000,6060,2,1,yes,no,1,one
312,4098500,3600,3,1,yes,yes,0,one
313,4095000,3680,3,2,no,no,0,two
314,4095000,4040,2,1,no,no,1,two
315,4095000,5600,2,1,no,yes,0,one
317,4060000,4992,3,2,no,no,2,two
318,4060000,4340,3,1,no,no,0,one
319,4060000,3000,4,1,yes,yes,2,more
320,4060000,4320,3,1,no,no,2,two
321,4025000,3630,3,2,no,no,2,two
322,4025000,3460,3,2,yes,yes,1,one
325,4007500,3460,4,1,no,yes,0,two
329,3990000,3960,3,1,no,no,0,two
333,3920000,3000,3,1,no,no,0,two
334,3920000,3290,2,1,no,no,1,one
335,3920000,3816,2,1,yes,yes,2,one
336,3920000,8080,3,1,no,yes,2,one
337,3920000,2145,4,2,yes,no,0,one
339,3885000,3180,4,2,no,no,0,two
340,3850000,5300,5,2,no,no,0,two
341,3850000,3180,2,2,yes,no,2,one
342,3850000,7152,3,1,no,yes,0,two
343,3850000,4080,2,1,no,no,0,one
344,3850000,3850,2,1,no,no,0,one
345,3850000,2015,3,1,yes,no,0,two
347,3836000,3350,3,1,no,no,0,two
349,3780000,4820,3,1,no,no,0,two
350,3780000,3420,2,1,no,no,1,two
351,3780000,3600,2,1,no,no,0,one
352,3780000,5830,2,1,no,no,2,one
353,3780000,2856,3,1,no,no,0,more
354,3780000,8400,2,1,no,no,1,one
355,3773000,8250,3,1,no,no,2,one
358,3745000,3480,2,1,no,no,0,one
359,3710000,3600,3,1,no,no,1,one
360,3710000,4040,2,1,no,no,0,one
361,3710000,6020,3,1,no,no,0,one
362,3710000,4050,2,1,no,no,0,one
363,3710000,3584,2,1,no,no,0,one
365,3703000,5450,2,1,no,no,0,one
366,3675000,3630,2,1,yes,no,0,one
367,3675000,3630,2,1,no,yes,0,one
369,3675000,3600,2,1,no,no,0,one
370,3640000,4280,2,1,no,yes,2,one
371,3640000,3570,3,1,yes,no,0,two
373,3640000,3000,2,1,no,yes,0,two
374,3640000,3520,2,2,yes,no,0,one
376,3640000,4130,3,2,no,no,2,two
378,3640000,2275,3,1,no,yes,0,more
379,3633000,3520,3,1,no,no,2,one
380,3605000,4500,2,1,no,no,0,one
381,3605000,4000,2,1,no,no,0,one
382,3570000,3150,3,1,yes,no,0,two
383,3570000,4500,4,2,yes,no,2,two
385,3570000,3640,2,1,no,no,0,one
386,3535000,3850,3,1,no,no,2,one
387,3500000,4240,3,1,no,yes,0,two
388,3500000,3650,3,1,no,no,0,two
389,3500000,4600,4,1,no,no,0,two
391,3500000,3036,3,1,yes,no,0,two
392,3500000,3990,3,1,no,no,0,two
395,3500000,3600,6,1,no,no,1,two
396,3500000,3640,2,1,no,no,1,one
397,3500000,5900,2,1,no,no,1,one
398,3500000,3120,3,1,no,no,1,two
399,3500000,7350,2,1,no,no,1,one
400,3500000,3512,2,1,no,no,1,one
402,3500000,5880,2,1,no,no,0,one
403,3500000,12944,3,1,no,no,0,one
405,3465000,3060,3,1,no,no,0,one
406,3465000,5320,2,1,no,no,1,one
407,3465000,2145,3,1,no,no,0,more
408,3430000,4000,2,1,no,no,0,one
409,3430000,3185,2,1,no,no,2,one
410,3430000,3850,3,1,no,no,0,one
411,3430000,2145,3,1,no,no,0,more
412,3430000,2610,3,1,yes,no,0,two
413,3430000,1950,3,2,yes,no,0,two
414,3423000,4040,2,1,no,no,0,one
416,3395000,3450,3,1,yes,no,2,one
417,3395000,3640,2,1,no,no,0,one
418,3360000,3500,4,1,no,yes,2,two
420,3360000,4120,2,1,no,no,0,two
421,3360000,4750,2,1,no,no,0,one
423,3360000,3750,3,1,no,no,0,one
